2023-08-31 20:48:39,298 INFO    MainThread:4092488 [wandb_setup.py:_flush():76] Current SDK version is 0.15.9
2023-08-31 20:48:39,299 INFO    MainThread:4092488 [wandb_setup.py:_flush():76] Configure stats pid to 4092488
2023-08-31 20:48:39,299 INFO    MainThread:4092488 [wandb_setup.py:_flush():76] Loading settings from /home/jess/.config/wandb/settings
2023-08-31 20:48:39,299 INFO    MainThread:4092488 [wandb_setup.py:_flush():76] Loading settings from /home/jess/ct_classifier_wd/wandb/settings
2023-08-31 20:48:39,299 INFO    MainThread:4092488 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-08-31 20:48:39,299 INFO    MainThread:4092488 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-08-31 20:48:39,299 INFO    MainThread:4092488 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'ct_classifier/train.py', 'program': '/home/jess/ct_classifier_wd/ct_classifier/train.py'}
2023-08-31 20:48:39,299 INFO    MainThread:4092488 [wandb_init.py:_log_setup():524] Logging user logs to /home/jess/ct_classifier_wd/wandb/run-20230831_204839-3mqlw2eo/logs/debug.log
2023-08-31 20:48:39,299 INFO    MainThread:4092488 [wandb_init.py:_log_setup():525] Logging internal logs to /home/jess/ct_classifier_wd/wandb/run-20230831_204839-3mqlw2eo/logs/debug-internal.log
2023-08-31 20:48:39,299 INFO    MainThread:4092488 [wandb_init.py:init():564] calling init triggers
2023-08-31 20:48:39,299 INFO    MainThread:4092488 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'seed': 32678456782, 'device': 'cuda', 'num_workers': 4, 'data_root': '/home/jess/data/wild_deserts/processed/crops', 'num_classes': 15, 'image_size': [224, 224], 'num_epochs': 100, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.001}
2023-08-31 20:48:39,299 INFO    MainThread:4092488 [wandb_init.py:init():613] starting backend
2023-08-31 20:48:39,299 INFO    MainThread:4092488 [wandb_init.py:init():617] setting up manager
2023-08-31 20:48:39,300 INFO    MainThread:4092488 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-08-31 20:48:39,301 INFO    MainThread:4092488 [wandb_init.py:init():623] backend started and connected
2023-08-31 20:48:39,304 INFO    MainThread:4092488 [wandb_init.py:init():714] updated telemetry
2023-08-31 20:48:39,344 INFO    MainThread:4092488 [wandb_init.py:init():747] communicating run to backend with 60.0 second timeout
2023-08-31 20:48:39,874 INFO    MainThread:4092488 [wandb_run.py:_on_init():2180] communicating current version
2023-08-31 20:48:40,088 INFO    MainThread:4092488 [wandb_run.py:_on_init():2189] got version response 
2023-08-31 20:48:40,088 INFO    MainThread:4092488 [wandb_init.py:init():798] starting run threads in backend
2023-08-31 20:48:41,014 INFO    MainThread:4092488 [wandb_run.py:_console_start():2159] atexit reg
2023-08-31 20:48:41,015 INFO    MainThread:4092488 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-08-31 20:48:41,015 INFO    MainThread:4092488 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-08-31 20:48:41,015 INFO    MainThread:4092488 [wandb_run.py:_redirect():2104] Redirects installed.
2023-08-31 20:48:41,015 INFO    MainThread:4092488 [wandb_init.py:init():839] run started, returning control to user process
